number,value,datetime_start,datetime_complete,duration,params_gross_short,params_lambda_long,params_lambda_short,params_rebal_freq,params_rsi_period,params_top_n_long,params_top_n_short,state
35,0.7041,2026-04-21 20:51:29.322622,2026-04-21 20:51:33.424379,0 days 00:00:04.101757,0.2,2.0669544132132818,2.6914817440729397,2,2,15,5,COMPLETE
36,0.7825,2026-04-21 20:51:33.426010,2026-04-21 20:51:37.342152,0 days 00:00:03.916142,0.2,1.0093542718560597,1.9976054343305163,3,3,15,5,COMPLETE
37,0.8647,2026-04-21 20:51:37.343506,2026-04-21 20:51:41.685284,0 days 00:00:04.341778,0.4,2.3611784447105357,3.8327035606122517,2,7,15,5,COMPLETE
38,0.7666,2026-04-21 20:51:41.686642,2026-04-21 20:51:46.121950,0 days 00:00:04.435308,0.2,2.975810599077341,2.3321712444286806,2,3,15,12,COMPLETE
39,0.5395,2026-04-21 20:51:46.123307,2026-04-21 20:51:51.518134,0 days 00:00:05.394827,0.5,1.4986886531784296,5.591045035964601,1,7,15,5,COMPLETE
40,0.4942,2026-04-21 20:51:51.519532,2026-04-21 20:51:55.559022,0 days 00:00:04.039490,0.4,1.8844563514996029,3.1983715084536413,3,2,10,8,COMPLETE
41,0.9332,2026-04-21 20:51:55.560615,2026-04-21 20:51:59.763390,0 days 00:00:04.202775,0.2,1.6795098816478617,2.892204360086328,2,7,15,5,COMPLETE
42,0.9332,2026-04-21 20:51:59.764710,2026-04-21 20:52:03.935495,0 days 00:00:04.170785,0.2,2.302882969355501,3.3367324638320137,2,7,15,5,COMPLETE
43,0.9332,2026-04-21 20:52:03.936895,2026-04-21 20:52:08.365794,0 days 00:00:04.428899,0.2,1.8866924018970113,4.33191489586725,2,7,15,5,COMPLETE
44,0.9332,2026-04-21 20:52:08.367187,2026-04-21 20:52:13.158571,0 days 00:00:04.791384,0.2,1.463985782962761,2.3040316222176798,2,7,15,5,COMPLETE
45,0.9332,2026-04-21 20:52:13.159939,2026-04-21 20:52:17.459295,0 days 00:00:04.299356,0.2,0.7887523930360091,1.6196136909286247,2,7,15,5,COMPLETE
46,0.7799,2026-04-21 20:52:17.461138,2026-04-21 20:52:21.918361,0 days 00:00:04.457223,0.2,2.9833504078882025,3.6366108457875836,2,3,15,5,COMPLETE
47,0.7598,2026-04-21 20:52:21.919890,2026-04-21 20:52:28.012771,0 days 00:00:06.092881,0.3,2.415201747221448,2.511930512819754,2,5,15,5,COMPLETE
48,0.815,2026-04-21 20:52:28.014095,2026-04-21 20:52:32.090075,0 days 00:00:04.075980,0.2,0.14700406491238074,4.374273238801095,2,7,10,8,COMPLETE
49,0.8542,2026-04-21 20:52:32.091532,2026-04-21 20:52:36.177943,0 days 00:00:04.086411,0.5,1.121208364034515,4.905273860388112,2,7,15,5,COMPLETE
50,0.7164,2026-04-21 20:52:36.179435,2026-04-21 20:52:41.653876,0 days 00:00:05.474441,0.2,0.5801033282969402,3.0009572996612373,1,7,15,12,COMPLETE
51,0.9332,2026-04-21 20:52:41.656378,2026-04-21 20:52:46.107356,0 days 00:00:04.450978,0.2,2.331922664147144,2.7526128286561136,2,7,15,5,COMPLETE
52,0.9332,2026-04-21 20:52:46.108752,2026-04-21 20:52:50.596564,0 days 00:00:04.487812,0.2,2.0973864652288423,3.7702208925121585,2,7,15,5,COMPLETE
53,0.9332,2026-04-21 20:52:50.597917,2026-04-21 20:52:55.067806,0 days 00:00:04.469889,0.2,1.7194309849363765,2.1344659485549364,2,7,15,5,COMPLETE
54,0.8748,2026-04-21 20:52:55.069144,2026-04-21 20:52:59.297238,0 days 00:00:04.228094,0.3,1.4530036209756583,3.3714489254179334,2,7,15,5,COMPLETE
55,0.9332,2026-04-21 20:52:59.298581,2026-04-21 20:53:03.200324,0 days 00:00:03.901743,0.2,2.5927019430364067,2.4326406884273664,2,7,15,5,COMPLETE
56,0.7894,2026-04-21 20:53:03.201986,2026-04-21 20:53:07.229373,0 days 00:00:04.027387,0.2,2.0765319830519493,2.6501642402474435,2,7,10,5,COMPLETE
57,0.8305,2026-04-21 20:53:07.230757,2026-04-21 20:53:10.840494,0 days 00:00:03.609737,0.4,0.8411448811084458,4.054651461401061,3,5,15,5,COMPLETE
58,0.9332,2026-04-21 20:53:10.841752,2026-04-21 20:53:14.842221,0 days 00:00:04.000469,0.2,1.296815590938843,2.9828695544558066,2,7,15,5,COMPLETE
59,0.7507,2026-04-21 20:53:14.843580,2026-04-21 20:53:18.775460,0 days 00:00:03.931880,0.2,1.7867361278933835,5.869602210734701,2,3,15,8,COMPLETE
60,0.698,2026-04-21 20:53:18.776911,2026-04-21 20:53:22.703308,0 days 00:00:03.926397,0.2,2.1728039348982278,4.853194416313003,2,2,15,12,COMPLETE
61,0.9332,2026-04-21 20:53:22.705053,2026-04-21 20:53:26.823986,0 days 00:00:04.118933,0.2,0.995846191071732,3.4697366587847256,2,7,15,5,COMPLETE
62,0.9332,2026-04-21 20:53:26.825243,2026-04-21 20:53:31.058061,0 days 00:00:04.232818,0.2,1.0907087981103178,3.571605186791065,2,7,15,5,COMPLETE
63,0.9332,2026-04-21 20:53:31.060167,2026-04-21 20:53:35.366707,0 days 00:00:04.306540,0.2,0.49047552271721506,3.1429086721262474,2,7,15,5,COMPLETE
