date,mom,rev,bench,combined_60_40,combined_50_50
2022-01-05,-0.005586191190524503,-0.011869452238588374,-0.0062980330048126865,-0.008099495609750052,-0.008727821714556439
2022-01-06,0.00022555123371525987,-0.001631585423637727,-0.001823151936479861,-0.000517303429225935,-0.0007030170949612335
2022-01-07,0.004343343053667681,0.0006819087646572353,0.003383082130805848,0.0028787693380635027,0.002512625909162458
2022-01-10,0.004628473882671402,-0.005567530541768173,-0.0036378585282743625,0.0005500721128955718,-0.0004695283295483854
2022-01-11,-0.0010300684942134986,0.0073209788583985524,0.0045426224081002164,0.002310350446831322,0.003145455182092527
2022-01-12,-0.0011932776903438302,0.003686823340114165,0.0009350205681453172,0.000758762721839368,0.0012467728248851673
2022-01-13,-0.009617311383706362,-0.006759506027556594,-0.003262071845550607,-0.008474189241246453,-0.008188408705631478
2022-01-14,0.00206109479403338,0.0022569028634500388,-0.0035624660255778595,0.0021394180218000432,0.0021589988287417095
2022-01-18,-0.010014271003414232,-0.013100859900152195,-0.012265675985242641,-0.011248906562109418,-0.011557565451783214
2022-01-19,0.0008211435221778807,-0.005032479088188047,-0.008940216397622214,-0.0015203055219684904,-0.002105667783005083
2022-01-20,-0.00984258927909809,-0.009049579972647437,-0.009691477254625158,-0.00952538555651783,-0.009446084625872764
2022-01-21,-0.004309104982651246,-0.0107745250265473,-0.013382181306887175,-0.006895273000209668,-0.007541815004599273
2022-01-24,-0.0032491562470504665,0.0005752047202296495,0.0011800629124969486,-0.00171941186013842,-0.0013369757634104085
2022-01-25,-0.006736789816733313,-0.001940399782015767,0.0014509783789256048,-0.0048182338028462945,-0.00433859479937454
2022-01-26,-0.008676390009472068,-5.132894040438263e-05,-0.00522446157228873,-0.005226365581844993,-0.004363859474938225
2022-01-27,-0.0037780132548195233,0.005024612694670028,-0.0007958919418292743,-0.0002569628750237027,0.0006232997199252521
2022-01-28,0.01898855576123304,0.011991052740657926,0.014702329536792957,0.016189554553002992,0.015489804250945483
2022-01-31,0.01587784528519509,0.00401496002074575,0.01113990042370916,0.011132691179415356,0.00994640265297042
2022-02-01,-0.0013743696502838132,0.007139644977577575,0.00836467825820697,0.002031236200860742,0.002882637663646881
2022-02-02,0.004817688244203255,0.003111733854560761,0.005510399132722998,0.004135306488346258,0.003964711049382008
2022-02-03,-0.018137413638725786,-0.012361225887720373,-0.014303380108649177,-0.01582693853832362,-0.01524931976322308
2022-02-04,-0.0006241896900597288,0.00220866035548295,-0.0009067959631670064,0.0005089503281573428,0.0007922353327116105
2022-02-07,-0.005820866303432148,0.0017585752720554737,0.00013656327917632716,-0.002789089673237099,-0.0020311455156883373
2022-02-08,0.0006541341815093915,0.006958549250505319,0.008491410631678686,0.0031759002091077625,0.0038063417160073554
2022-02-09,0.007732798638011351,0.007309965513195182,0.008478816001207923,0.0075636653880848835,0.007521382075603267
2022-02-10,-0.013684563435930497,-0.012456650129125224,-0.01241018952527706,-0.013193398113208387,-0.01307060678252786
2022-02-11,-0.013807162711813259,-0.014088848404598453,-0.012528752066606641,-0.013919836988927337,-0.013948005558205856
2022-02-14,-0.004292668486382101,-0.006908954526416489,-0.004207389762105329,-0.0053391829023958556,-0.005600811506399295
2022-02-15,0.014005354697682826,0.014319018039870901,0.012600943791689856,0.014130820034558057,0.014162186368776863
2022-02-16,-0.0030167540240133572,-0.001593824688496892,-0.0010149461719625164,-0.0024475822898067713,-0.0023052893562551247
2022-02-17,-0.013002683151428274,-0.011035668905958862,-0.013623834524153722,-0.012215877453240508,-0.012019176028693568
2022-02-18,-0.011761848866559399,-0.007133259067529707,-0.006165157693385326,-0.009910412946947523,-0.009447553967044553
2022-02-22,-0.0059925455535553285,-0.010456520477445719,-0.011559343325051263,-0.007778135523111485,-0.008224533015500524
2022-02-23,-0.010527655499244948,-0.011946516613115632,-0.012949079381404105,-0.011095199944793223,-0.01123708605618029
2022-02-24,0.0034231589414348562,0.004700731306761519,0.001267414546001877,0.0039341878875655215,0.004061945124098187
2022-02-25,0.033497045594608865,0.0233290662860981,0.025782108536509085,0.02942985387120456,0.028413055940353482
2022-02-28,-0.004391346520669748,-0.0010839253037557839,-0.004991658932132048,-0.003068378033904162,-0.002737635912212766
2022-03-01,-0.011043787881319322,-0.013139240543616038,-0.01734523255165521,-0.011881968946238008,-0.01209151421246768
2022-03-02,0.013218472243337054,0.020126726855443033,0.01838972905684222,0.015981774088179447,0.016672599549390044
2022-03-03,-0.007015105574543767,-0.007978829376779961,-0.0015264662468600365,-0.007400595095438245,-0.007496967475661864
2022-03-04,-0.008056252906151529,-0.012082465930981612,-0.005738786832316212,-0.009666738116083562,-0.01006935941856657
2022-03-07,-0.027504166357726012,-0.034484459582278415,-0.022462474104830044,-0.030296283647546975,-0.030994312970002214
2022-03-08,-0.009075726058496603,-0.007329498596118977,-0.0060089375293438385,-0.008377235073545552,-0.00820261232730779
2022-03-09,0.015588086058791806,0.028449056128176275,0.019157634073169838,0.020732474086545594,0.02201857109348404
2022-03-10,-0.007387449830064119,-0.004656739987863867,-0.004689584888413423,-0.006295165893184018,-0.006022094908963993
2022-03-11,-0.003919930383001646,-0.009213237179348188,-0.006285383856723725,-0.006037253101540263,-0.006566583781174917
2022-03-14,-0.003925591203677525,-0.0001175095549809102,-0.0013910969361674574,-0.0024023585441988794,-0.0020215503793292178
2022-03-15,0.015844557723031505,0.024131534561693035,0.01613026333337131,0.019159348458496116,0.01998804614236227
2022-03-16,0.020057733232693886,0.02359205867606029,0.015539641094865608,0.02147146341004045,0.021824895954377088
2022-03-17,0.010635776201670444,0.009949554301782237,0.012616273742013906,0.010361287441715161,0.01029266525172634
2022-03-18,0.009797308474095878,0.008210102530103347,0.006378766876133257,0.009162426096498866,0.009003705502099613
2022-03-21,-0.006517981530423378,-0.008088625750141243,-0.0034402064517892184,-0.007146239218310525,-0.00730330364028231
2022-03-22,0.009950420037374563,0.010340910241399826,0.00798945893406322,0.010106616118984668,0.010145665139387194
2022-03-23,-0.011408850811159499,-0.01435316755125271,-0.011215126897987315,-0.012586577507196783,-0.012881009181206104
2022-03-24,0.016181600930070816,0.012721629711375693,0.010742269409141691,0.014797612442592766,0.014451615320723254
2022-03-25,0.003119082694997388,0.0022174383866597758,0.006260326298904273,0.0027584249716623432,0.002668260540828582
2022-03-28,0.0024545706868317474,0.004521815498898407,0.001700747545455128,0.0032814686116584115,0.0034881930928650773
2022-03-29,0.011714128009794322,0.01546618974085745,0.009746631219374136,0.013214952702219573,0.013590158875325886
2022-03-30,-0.00640976666821047,-0.005772147026293362,-0.0014441188095780655,-0.006154718811443627,-0.006090956847251916
2022-03-31,-0.013059857398264763,-0.014429327355515609,-0.014742277398338999,-0.013607645381165101,-0.013744592376890186
2022-04-01,-0.0009914746775023797,0.004883871790365202,0.0040909694664268414,0.001358663909644653,0.001946198556431411
2022-04-04,0.006394767570603976,0.006029545665454883,0.0034578784395924433,0.006248678808544339,0.00621215661802943
2022-04-05,-0.011490163600522796,-0.011001716536520045,-0.008808784721696217,-0.011294784774921695,-0.01124594006852142
2022-04-06,-0.007377226997310582,-0.00528380036481102,-0.004690528277664363,-0.006539856344310757,-0.006330513681060801
2022-04-07,-0.0002818515519914522,0.0014603320759709604,0.002149226645526525,0.00041502189919351284,0.0005892402619897541
2022-04-08,-0.003632982702782561,-0.002057332585351568,0.0025678166085449927,-0.0030027226558101638,-0.0028451576440670645
2022-04-11,-0.008464628515557626,-0.008918421688535294,-0.010620203724886701,-0.008646145784748694,-0.00869152510204646
2022-04-12,-0.0013141461027436074,-0.00025218132424731365,-0.0017208436295003127,-0.0008893601913450899,-0.0007831637134954605
2022-04-13,0.006959265783062385,0.013248282528775635,0.009593410407765735,0.009474872481347686,0.01010377415591901
2022-04-14,-0.007269056090186465,-0.0012762222144049318,-0.002646204160955845,-0.004871922539873851,-0.004272639152295699
2022-04-18,-0.00030412218357167564,-0.0005198712223115631,-0.0015271923982085323,-0.00039042179906763065,-0.0004119967029416194
2022-04-19,0.01662977436080726,0.01729579039899365,0.015120781620867163,0.016896180776081814,0.016962782379900454
2022-04-20,0.0015975632058085054,0.006202218323997144,0.0065350035351869895,0.003439425253083961,0.0038998907649028247
2022-04-21,-0.009999916178321966,-0.0057745832199027625,-0.007581454486848549,-0.008309782994954284,-0.007887249699112364
2022-04-22,-0.01732005306058082,-0.02471158573504284,-0.02669577301972048,-0.020276666130365627,-0.02101581939781183
2022-04-25,0.010175471211150366,0.005696062002736646,0.005452468130611399,0.008383707527784877,0.007935766606943506
2022-04-26,-0.019478436483008288,-0.028205051944146797,-0.023822624399020498,-0.02296908266746369,-0.023841744213577543
2022-04-27,0.0006508122420241236,-0.002996011847351876,-0.0008889905046340907,-0.0008079173937262764,-0.0011725998026638762
2022-04-28,0.019273598023342053,0.014107377164517265,0.019150788441054445,0.017207109679812135,0.01669048759392966
2022-04-29,-0.03051590047046382,-0.02679419028180985,-0.027568584367270166,-0.02902721639500223,-0.028655045376136834
2022-05-02,0.009451676384840901,0.00242569383362512,0.0035509102582882424,0.006641283364354589,0.005938685109233011
2022-05-03,-0.0011196175788061868,0.0057101654662732315,0.0031596264967503895,0.0016122956392255806,0.0022952739437335223
2022-05-04,0.02521198652118173,0.029098050717065505,0.028693515201893893,0.02676641219953524,0.027155018619123616
2022-05-05,-0.034406642013242505,-0.02806609057414311,-0.02961745996802201,-0.03187042143760274,-0.031236366293692808
2022-05-06,-0.012201159161814967,-0.0028900442814587812,-0.0037390170240295673,-0.008476713209672491,-0.007545601721636874
2022-05-09,-0.019848787907548515,-0.009319912316015255,-0.018920673870144955,-0.015637237670935212,-0.014584350111781885
2022-05-10,0.004122484028466156,-0.001581586934979562,-0.002588012774344839,0.0018408556430878685,0.0012704485467432969
2022-05-11,-0.018434501418477134,-0.008970198020309517,-0.009678606136295342,-0.014648780059210087,-0.013702349719393325
2022-05-12,-0.005897206575985137,0.0028244597630262547,-0.0021943741903968084,-0.0024085400403805798,-0.001536373406479441
