trial,s_trending,s_volatile,s_crash,sharpe,sortino,cagr,max_dd,cum_ret
73,0.39757819382494064,0.4514230376714096,0.24429202267576666,0.6595,0.9478,9.91,-28.48,80.85
74,0.6628642127635824,1.4334348855704548,0.1432231134410275,0.5968,0.8561,8.68,-29.1,68.49
75,0.9248084293120271,0.037289237079384474,0.27759902116341234,0.7113,1.0332,10.79,-26.93,90.1
76,0.6339751116810851,0.15884610562612994,0.07016979853195632,0.6607,0.952,10.38,-30.2,85.7
77,0.41911431931630383,1.4493478682147725,0.2980212766171864,0.627,0.8997,9.03,-27.65,71.97
78,0.9330232216002112,1.206541373419456,0.23369080077764576,0.6128,0.8815,8.69,-27.56,68.64
79,0.7847634492521874,0.026755175965481603,0.05457199838286747,0.669,0.9664,10.6,-30.13,88.12
80,0.8294286148827363,1.1952256324877426,0.11632037098321685,0.5912,0.8481,8.59,-29.22,67.64
81,0.5307695905990535,0.9090237310500164,0.4338694768880056,0.6525,0.9402,9.04,-25.32,72.03
82,0.6031071573387257,0.6188573539105204,0.18709202170359135,0.6226,0.8941,9.12,-28.64,72.88
83,0.4258820863735099,0.9778965383699613,0.43374531587616244,0.652,0.938,9.13,-25.68,72.96
84,0.45389688207629975,0.3717593444270372,0.11833118149879057,0.6472,0.9292,9.99,-30.06,81.69
85,0.7460142802434464,1.2248531451358655,0.05263903992706248,0.5798,0.8307,8.53,-30.13,67.09
86,0.06655885695517816,0.8916504956346777,0.07308662209634914,0.5862,0.8339,9.12,-31.92,72.83
87,0.8246641904563413,0.46550201088611165,0.07193596648557132,0.6193,0.8898,9.33,-29.85,74.93
88,0.9209704724874502,0.24829758410291725,0.14236004116896778,0.6608,0.9536,10.05,-28.86,82.31
89,0.15361339519205863,0.17323509549803245,0.010574008168220017,0.6548,0.9372,10.82,-32.49,90.41
90,0.05539540916426011,0.26196220640377904,0.026690966313587694,0.6443,0.9202,10.62,-32.58,88.26
91,0.5911438161109712,1.0210717901992596,0.19681522841601412,0.6077,0.872,8.79,-28.54,69.6
92,0.3179910969520494,0.7567893555333451,0.4375024711173043,0.6502,0.9338,9.21,-26.0,73.7
93,0.851131626822206,0.06521259301918791,0.09074920479826204,0.6728,0.9723,10.55,-29.58,87.57
94,0.23674487110439602,0.37408136374831774,0.28561632587138636,0.6762,0.9711,10.34,-28.43,85.28
95,0.4162624257031923,0.07388117989139098,0.1868070692297858,0.6958,1.0041,10.99,-29.23,92.28
96,0.5237529487176372,0.15250785435557396,0.41672927689427985,0.7289,1.0576,10.81,-25.6,90.32
97,0.051961866465104256,1.387262803527093,0.04955657078993775,0.5824,0.8281,9.11,-32.29,72.72
98,0.8435749515977528,1.3539797158914255,0.48978534029329635,0.6631,0.9595,8.89,-23.84,70.6
99,0.8020258802735936,1.1692163111569933,0.32124163799777383,0.6314,0.9101,8.8,-26.34,69.64
100,0.778996354578129,0.20182831261972062,0.26803401797381865,0.6905,1.0003,10.29,-27.01,84.85
101,0.5142228701904145,1.2863582161838363,0.23139968279675793,0.6148,0.882,8.89,-28.28,70.58
102,0.3850894961003535,0.9593449068556652,0.13323165875042303,0.598,0.8551,8.92,-30.08,70.86
103,0.13976841095395687,0.7168159110356187,0.2084446842974425,0.6121,0.8735,9.26,-29.83,74.22
104,0.2325699405288737,0.551267715172692,0.1831962249131237,0.6323,0.9044,9.67,-29.87,78.33
105,0.32749556441254546,0.5691961195903934,0.3428716727279727,0.6588,0.9462,9.66,-27.32,78.28
106,0.2968764745712853,1.4232868900730107,0.45817400976908895,0.6543,0.9397,9.25,-25.78,74.18
107,0.4809104283000786,0.4925418075070332,0.26771739491500157,0.6579,0.9464,9.72,-27.87,78.89
108,0.8485604887736246,0.9788810108401531,0.4021959139735387,0.6455,0.9321,8.83,-25.13,69.97
109,0.5327222760657402,0.9493764439014312,0.14407780709123086,0.599,0.858,8.8,-29.45,69.67
110,0.7348931623102908,0.3036068896885775,0.3473990644092491,0.6938,1.0054,10.07,-25.97,82.5
111,0.8607190683258941,0.1981542559523159,0.3071898702709599,0.6987,1.0132,10.34,-26.5,85.31
112,0.0950957482299346,1.0885734424071403,0.042246609411760117,0.5818,0.8276,9.07,-32.25,72.34
113,0.935939822700626,0.20611189505670324,0.4794401229545402,0.7321,1.0661,10.44,-24.0,86.36
114,0.8008841760850967,0.8905230066995311,0.39131205231477345,0.6451,0.9313,8.85,-25.33,70.16
115,0.7951148389830859,1.4190405942259954,0.1266916769195936,0.5914,0.8485,8.57,-29.11,67.43
116,0.5900758953583092,0.14257379634660183,0.30808285001206065,0.7082,1.026,10.68,-26.96,88.92
117,0.1712913040927888,0.8474259172086628,0.28621525701692485,0.6182,0.8834,9.15,-28.64,73.16
118,0.46598515298122734,0.7839476632696842,0.38196169500329397,0.643,0.9248,9.06,-26.29,72.26
119,0.7992447165120666,0.7382298233631437,0.29979672076130615,0.6286,0.9056,8.8,-26.65,69.73
120,0.9312362356901018,0.17960038275168422,0.05855178295005525,0.6535,0.9421,10.18,-30.04,83.65
121,0.08770901191076841,0.9867949275607917,0.20930415039518974,0.6078,0.8666,9.22,-29.98,73.85
122,0.7743214161418432,1.006847119962889,0.16681887916411908,0.6015,0.864,8.65,-28.37,68.25
123,0.8983665473615358,1.1437982206059785,0.13526747045508786,0.5946,0.8534,8.61,-28.96,67.81
124,0.364192017772054,0.47165997030639434,0.07880582431249983,0.627,0.8975,9.73,-30.9,78.94
125,0.14778337254219165,1.4041911950636161,0.21895201859937663,0.6105,0.8714,9.19,-29.65,73.5
126,0.38331982277740984,1.0945285630160668,0.27649653262644996,0.623,0.8931,9.04,-28.07,72.1
127,0.9361399868384622,1.1704522408640883,0.23968478206227017,0.614,0.8833,8.7,-27.47,68.69
128,0.3763594734808262,1.479947317386483,0.35888011800182174,0.6378,0.9156,9.12,-26.93,72.82
129,0.9511946600038411,0.17771786582556204,0.4252668395953913,0.7245,1.0541,10.49,-24.79,86.86
130,0.6370738839912076,0.18288251750266887,0.29412899998461034,0.6998,1.0135,10.49,-27.02,86.92
131,0.6860963651054488,0.018454028832904257,0.22715898092087328,0.7047,1.022,10.87,-27.85,90.97
132,0.8253995111963212,0.4430385380161348,0.22927404089927556,0.6519,0.9404,9.54,-27.62,77.04
133,0.4423141270678932,0.4528910871637374,0.4592209477577771,0.7001,1.0111,10.04,-25.26,82.15
134,0.7812940354315159,0.16588261649416575,0.49851732891878653,0.741,1.0803,10.57,-23.63,87.79
135,0.8792000243077452,0.42586265679605845,0.4184482898304691,0.6919,1.0028,9.74,-24.89,79.13
136,0.10641953187138287,1.498657095711358,0.33284236805326844,0.6281,0.8975,9.31,-28.2,74.7
137,0.650125015558797,0.13566109047619912,0.44851669944831263,0.7351,1.0695,10.73,-24.76,89.44
138,0.028999503204469423,0.36124208706172056,0.0715109375833175,0.6376,0.9098,10.35,-32.07,85.42
139,0.7767679406922186,0.2973063408193468,0.45531911356544263,0.7159,1.0404,10.15,-24.3,83.31
140,0.6562690393274901,0.05424406574204432,0.0027149170643502307,0.6598,0.9509,10.6,-31.08,88.04
141,0.051657917014398924,0.9088877664715915,0.40074090542970764,0.6375,0.911,9.4,-27.44,75.6
142,0.23855282062738847,1.2741132643846094,0.028615970076630193,0.5806,0.8272,8.94,-31.98,71.11
143,0.8009638536416762,1.3916931452584205,0.3860541995521903,0.6441,0.9297,8.84,-25.4,70.12
144,0.6981207839786372,1.2569703279830746,0.02007564977353321,0.5749,0.8227,8.54,-30.73,67.17
145,0.20178211071905539,0.18738551895846461,0.25226549509649326,0.6947,0.9992,10.94,-29.01,91.78
146,0.7451881283288445,0.945017766864598,0.4255655498809675,0.6501,0.9392,8.85,-24.8,70.16
147,0.15521299244109088,1.1019316379027424,0.09652074543445205,0.5909,0.8419,9.07,-31.32,72.38
148,0.27075875131780025,1.064857045921956,0.4901023924493409,0.6593,0.947,9.3,-25.41,74.6
149,0.6115436059770696,0.08175047248694339,0.3081544849637664,0.7146,1.0365,10.83,-26.89,90.56
150,0.042350551580167095,1.3262185670502258,0.35478914255031035,0.6298,0.8992,9.37,-28.12,75.32
151,0.17312784642250323,0.1375815087362971,0.09176661444015949,0.6728,0.9651,10.99,-31.33,92.25
152,0.9800271795541925,0.6878409636877347,0.392040474170704,0.6498,0.9385,8.95,-25.28,71.2
153,0.6364083421077769,0.858619724937956,0.07256512733252485,0.5848,0.8373,8.64,-30.16,68.1
154,0.9460244535580951,0.4520139487720769,0.2890086079037711,0.6623,0.9566,9.56,-26.77,77.28
155,0.6997759445890661,0.9738497328679634,0.4702972048477592,0.6592,0.953,8.92,-24.29,70.86
156,0.148438989920058,0.762529107670413,0.20201719537038298,0.6061,0.8648,9.14,-29.89,73.0
157,0.4741687294826181,0.17882628929661692,0.06704730493638267,0.6615,0.9514,10.5,-30.71,87.06
158,0.27807554578125737,0.45705690564124696,0.213951606840675,0.6522,0.9351,9.97,-29.3,81.44
159,0.6109875470366283,0.9519436761273945,0.20590544829278512,0.6091,0.8743,8.78,-28.35,69.49
160,0.4087831094286971,0.32644279004544297,0.2941531242045041,0.6858,0.9883,10.33,-27.74,85.27
161,0.3170409113172379,0.05408975141604555,0.2092000220784302,0.7025,1.0132,11.18,-29.24,94.35
162,0.4741326750901703,0.3383893023063165,0.28622896656105784,0.6822,0.9836,10.22,-27.63,84.03
163,0.5657719004319209,1.053003271665557,0.323974241100605,0.6315,0.9083,8.92,-26.8,70.87
164,0.6524330565210316,0.47432122773606467,0.39371611099297693,0.6815,0.9854,9.68,-25.55,78.43
165,0.5491443835996794,0.6471272927698352,0.31300624047052855,0.6425,0.9244,9.2,-27.0,73.6
166,0.3606573344502543,0.7691088669101374,0.36835284424111014,0.6369,0.9141,9.09,-26.84,72.53
167,0.8864028867237077,1.3815857959427875,0.2518164625915496,0.6163,0.8868,8.71,-27.3,68.79
168,0.5202751147405691,1.1998056161457546,0.15722534587210063,0.6014,0.8617,8.82,-29.3,69.9
169,0.8373823623450686,0.7412124697761351,0.057928362167634195,0.5816,0.8333,8.55,-30.04,67.3
170,0.0720591470729437,1.2629898165591946,0.02778395845343895,0.5793,0.8236,9.07,-32.52,72.37
171,0.2806114361336559,0.5011950607523188,0.0864972225957969,0.6237,0.8917,9.7,-31.06,78.73
172,0.31389336980198923,1.1140388500876286,0.007341421780035384,0.5773,0.8228,8.86,-32.04,70.3
173,0.8271734245206864,1.2848220353618371,0.1861307865957741,0.604,0.8678,8.65,-28.24,68.24
174,0.1536128990606348,0.9012606119176213,0.05983627793244717,0.5851,0.8331,9.04,-31.82,72.06
175,0.3649193610782525,1.4376437713514587,0.49773223629181856,0.6628,0.9537,9.23,-24.97,73.9
176,0.7721048913545856,0.4664422648811493,0.34383252458304625,0.6713,0.9707,9.56,-25.86,77.25
177,0.7054063654840127,0.5817625427454747,0.3204443172930797,0.6509,0.9389,9.24,-26.45,74.01
178,0.010727644975676243,0.3135864879033622,0.2625441514836306,0.6744,0.9655,10.68,-29.51,88.97
179,0.16375130425829587,0.24886030181480046,0.41815214527511896,0.7144,1.029,10.9,-26.8,91.26
180,0.9891330026836055,0.8339541420426726,0.4195348654408567,0.6453,0.932,8.78,-24.87,69.5
181,0.9903216643262726,0.21239383285316205,0.22412280662717554,0.6809,0.9852,10.23,-27.7,84.18
182,0.3925727158419199,0.12007392546927753,0.37766508639737223,0.7258,1.0506,11.03,-26.6,92.71
183,0.433779027322593,0.703990401285602,0.07533648690662009,0.5928,0.8473,8.93,-30.72,70.96
184,0.18092665223086812,1.3606554332343226,0.02232454448713944,0.5794,0.8248,8.98,-32.25,71.5
185,0.23285228494370624,0.43808899547179253,0.2450987712007932,0.6598,0.9461,10.09,-29.01,82.75
186,0.5864451730147959,0.7399349637759999,0.04205766727844101,0.5815,0.8318,8.68,-30.72,68.5
187,0.24366745405571355,1.2653825771438116,0.31879435023922953,0.6289,0.9003,9.19,-27.94,73.57
188,0.6491490501342744,1.0053048830270324,0.38145150951976453,0.6416,0.9249,8.89,-25.73,70.55
189,0.058108481721447336,0.5499125773989186,0.26976371763083934,0.6432,0.9189,9.87,-29.25,80.44
190,0.338456483297326,1.2667183099307797,0.24128625429364697,0.6166,0.8828,9.05,-28.72,72.18
191,0.7686275894593791,1.2780232753217535,0.25239574145174903,0.6134,0.8828,8.65,-27.21,68.18
192,0.9095522438713499,0.8806859108054709,0.42513714941686087,0.6501,0.9392,8.85,-24.79,70.14
193,0.3405907955915243,0.7482254377972278,0.26570552050228885,0.6211,0.8897,9.08,-28.37,72.41
194,0.10497971589607058,0.5978287600523109,0.45866883627583804,0.6687,0.9582,9.82,-26.43,79.91
195,0.6308322403647424,0.26625987365545123,0.16942781780480248,0.6661,0.9607,10.15,-28.81,83.3
196,0.19160300966269983,0.03723469769785881,0.46373022925201335,0.7479,1.082,11.55,-26.06,98.42
197,0.4482073282568715,0.4613026086311792,0.2992385957788683,0.6685,0.9622,9.88,-27.53,80.53
198,0.0073144562930156365,0.41703315990122075,0.3515167328494463,0.6744,0.9654,10.41,-28.29,86.09
199,0.633769773069263,1.4727089213138032,0.310178854829022,0.6281,0.9039,8.85,-26.8,70.14
200,0.4775058736277328,1.1421488447760115,0.45166393598202653,0.6557,0.9445,9.1,-25.25,72.64
201,0.7206959467183516,1.4448168353240693,0.3910025853690886,0.6432,0.9283,8.84,-25.39,70.07
202,0.8668014382619265,0.17115610677545579,0.36620675149689386,0.7135,1.0366,10.46,-25.65,86.61
203,0.4400886995273686,0.8296557036169128,0.3270512047411784,0.6321,0.9077,9.03,-27.17,71.98
204,0.9698151167055694,1.476867122147437,0.14411412274395263,0.5962,0.8559,8.61,-28.83,67.88
205,0.7337534974379162,1.124975306902903,0.1732464306565244,0.6016,0.8641,8.65,-28.47,68.23
206,0.12386977486422102,0.06142044042857964,0.3886715637645893,0.7308,1.0542,11.5,-27.36,97.83
207,0.4896997418169059,1.4783102542423894,0.23248672809682652,0.6151,0.8823,8.91,-28.34,70.81
208,0.9779169790738402,0.6173640032910899,0.3968410752799863,0.6601,0.9539,9.15,-25.21,73.11
209,0.08481927231183206,0.8331925652066459,0.4010298934928621,0.6354,0.9082,9.31,-27.32,74.75
210,0.9247016672198887,1.2338746359261474,0.018485363600587112,0.5739,0.8215,8.5,-30.59,66.76
211,0.3727023413067342,0.0730477084707769,0.054641145557279,0.6729,0.9679,10.93,-31.2,91.6
212,0.6753056286674841,1.0698872944675473,0.38686034137581315,0.6426,0.9268,8.87,-25.58,70.39
213,0.8654565480556629,1.1091472027147649,0.40043579605331603,0.6451,0.9315,8.83,-25.15,69.95
214,0.048963709823279244,0.35180272566194787,0.3109488866876229,0.6784,0.9721,10.57,-28.7,87.75
215,0.8581253046248232,0.006750187409488684,0.2573146710581749,0.7106,1.0322,10.86,-27.22,90.89
216,0.6772873993643972,0.04441093369291982,0.20067777877669396,0.697,1.0096,10.78,-28.25,90.01
