number,value,datetime_start,datetime_complete,duration,params_gross_short,params_lambda_long,params_lambda_short,params_rebal_freq,params_rsi_period,params_top_n_long,params_top_n_short,state
35,0.7126,2026-04-21 17:44:47.229918,2026-04-21 17:44:52.787373,0 days 00:00:05.557455,0.3,1.7910701090980337,2.707036907042511,2,2,15,5,COMPLETE
36,0.6562,2026-04-21 17:44:52.790010,2026-04-21 17:44:57.867972,0 days 00:00:05.077962,0.4,0.6982076329102234,4.632165934799025,3,5,20,5,COMPLETE
37,0.6421,2026-04-21 17:44:57.869551,2026-04-21 17:45:03.535840,0 days 00:00:05.666289,0.3,0.10900709612868575,3.286263226308661,2,3,20,5,COMPLETE
38,0.6463,2026-04-21 17:45:03.537435,2026-04-21 17:45:09.179011,0 days 00:00:05.641576,0.4,0.1682775212328841,2.410529573658817,2,2,15,12,COMPLETE
39,0.2982,2026-04-21 17:45:09.181092,2026-04-21 17:45:16.107506,0 days 00:00:06.926414,0.5,2.293060238223003,6.11354279409771,1,3,20,5,COMPLETE
40,0.4879,2026-04-21 17:45:16.108646,2026-04-21 17:45:20.887255,0 days 00:00:04.778609,0.3,1.0591158043695834,3.6439018581881943,3,2,10,8,COMPLETE
41,0.7855,2026-04-21 17:45:20.889807,2026-04-21 17:45:26.506165,0 days 00:00:05.616358,0.3,1.2573382435834983,7.131094384576592,2,2,20,5,COMPLETE
42,0.7855,2026-04-21 17:45:26.508674,2026-04-21 17:45:32.039673,0 days 00:00:05.530999,0.3,0.8901697746188513,4.433747761974598,2,2,20,5,COMPLETE
43,0.7855,2026-04-21 17:45:32.041392,2026-04-21 17:45:37.903334,0 days 00:00:05.861942,0.3,1.4962275867159607,6.115259881175133,2,2,20,5,COMPLETE
44,0.7855,2026-04-21 17:45:37.905915,2026-04-21 17:45:43.761617,0 days 00:00:05.855702,0.3,1.145080422223123,9.628775852697183,2,2,20,5,COMPLETE
45,0.7126,2026-04-21 17:45:43.763215,2026-04-21 17:45:49.440645,0 days 00:00:05.677430,0.4,2.05479258038228,2.1376262457966764,2,2,15,5,COMPLETE
46,0.6421,2026-04-21 17:45:49.442729,2026-04-21 17:45:55.308577,0 days 00:00:05.865848,0.3,1.3440516622975225,0.9836036503552621,2,3,20,5,COMPLETE
47,0.6165,2026-04-21 17:45:55.310167,2026-04-21 17:46:01.241634,0 days 00:00:05.931467,0.2,0.8376013759711912,2.5336851286612054,2,5,20,5,COMPLETE
48,0.7276,2026-04-21 17:46:01.243953,2026-04-21 17:46:06.578023,0 days 00:00:05.334070,0.3,2.651202551918736,5.500740502355278,2,2,20,8,COMPLETE
49,0.0,2026-04-21 17:46:06.579333,2026-04-21 17:46:10.059507,0 days 00:00:03.480174,0.5,1.7397800270267105,7.27103658750122,2,2,20,12,COMPLETE
