trial,s_trending,s_volatile,s_crash,sharpe,cagr,max_dd,cum_ret,kills
0,1.2739560485559633,0.5266541277024628,0.42929895995569123,0.5983,8.85,-26.05,70.18,0
1,1.1973680290593638,0.11301281746517944,0.48781117581837796,0.5189,7.01,-23.25,52.91,0
2,1.261139701990353,0.9432771663323445,0.06405681633777294,0.6077,9.09,-32.13,72.54,0
3,0.9503859378955671,0.44495762907909747,0.4633824944243009,0.6161,7.54,-20.54,57.78,0
4,1.1438651200806644,0.987313935924996,0.22170709941366556,0.6526,9.53,-30.23,77.0,0
5,0.7272387217847769,0.6655017444190018,0.03190862805208766,0.6258,5.99,-21.16,44.0,0
6,1.3276311719925822,0.7579972789464778,0.3790438700426869,0.6248,9.8,-29.64,79.7,0
7,0.8545259681298684,1.1648376292738838,0.44656056066109884,0.7057,10.03,-27.02,82.08,0
8,1.278383497073762,0.23356644942236107,0.2333605018635171,0.5147,6.88,-24.07,51.77,0
9,0.5438037657872288,0.18514739048105738,0.3415244766212273,0.5858,4.46,-13.98,31.47,0
10,1.244762155907817,1.161011678921052,0.16291267906907597,0.6476,10.29,-33.8,84.84,0
11,0.8704597060348689,0.5634669735309695,0.09473567954214285,0.6072,6.37,-21.87,47.28,0
12,0.6299215053354716,0.5708459114711205,0.11345467452544206,0.6545,5.56,-18.0,40.4,0
13,1.1698139946825103,0.5245823026467968,0.4163390980289187,0.6075,8.47,-24.48,66.45,0
14,1.2002651020022492,0.3748399696584493,0.41612990069760053,0.5751,7.92,-23.26,61.3,0
15,1.304764357496802,0.46497405483620935,0.14416405196512205,0.5468,7.6,-27.21,58.33,0
16,1.1824955039749754,0.16770298033117176,0.09995410123755416,0.4775,5.77,-23.1,42.13,0
17,0.5073622697510055,0.9443092530025661,0.33242542829601607,0.7107,7.39,-19.57,56.32,0
18,1.2051653786263352,0.9368748372263614,0.22945788776916998,0.6423,9.57,-30.51,77.33,0
19,1.0687411959528936,0.16775639775318893,0.05726503676798672,0.4732,5.23,-21.16,37.62,0
20,1.1684029617904717,0.565315447371759,0.2826180532405944,0.6024,8.14,-25.58,63.37,0
21,1.2649988574160256,0.761661984000709,0.2767897003289979,0.6213,9.24,-29.24,74.02,0
22,1.0592071607454137,0.36474011767513465,0.015408917283969703,0.516,5.87,-22.94,42.96,0
23,0.9367173892323624,0.257501607383435,0.20426432186231808,0.5483,5.75,-18.76,42.01,0
24,1.3534030732681661,0.2807273830384089,0.02915137084453301,0.479,6.48,-26.74,48.26,0
25,0.7813838920219965,0.35231250932002034,0.33095825736344753,0.6115,6.07,-16.62,44.68,0
