trial,s_trending,s_volatile,s_crash,sharpe,cagr,max_dd,cum_ret,kills
22,1.0592071607454137,0.36474011767513465,0.015408917283969703,0.8491,9.89,-13.53,80.65,0
23,0.9367173892323624,0.257501607383435,0.20426432186231808,0.8149,8.56,-13.72,67.37,0
24,1.3534030732681661,0.2807273830384089,0.02915137084453301,0.8188,11.7,-17.04,100.14,0
25,0.7813838920219965,0.35231250932002034,0.33095825736344753,0.7874,7.78,-16.49,59.94,0
26,1.0570321523412782,0.9406778509276962,0.33215677016369377,0.8451,12.3,-21.62,106.94,0
27,0.9063868614400705,0.9768244615992415,0.08348645995385195,0.8644,11.24,-21.5,95.0,0
28,0.5227120731338605,0.1080574329307701,0.36117967529822514,0.6401,4.7,-15.62,33.4,0
29,0.9618772302513874,0.19352613484032213,0.25052238755168177,0.7869,8.47,-15.32,66.52,0
30,0.6523121027131684,0.8355844500932832,0.22307813778701535,0.8223,8.73,-18.36,68.96,0
31,0.8810212260964825,0.3618145069774518,0.31514129655944423,0.803,8.59,-16.7,67.63,0
32,0.8618126105533904,0.1051799031793212,0.05900295106025766,0.7934,7.28,-11.12,55.34,0
33,1.4618976645495145,1.0902968288491284,0.3498535669053748,0.8608,15.92,-25.82,152.55,0
34,0.7658699614595196,1.1630116528172687,0.3893754519828973,0.7784,10.84,-24.9,90.61,0
35,1.2168901891589956,0.5392338025725464,0.1361207809225795,0.8609,11.87,-15.87,102.02,0
36,0.5963909621534993,1.08312287585261,0.22788814491680554,0.7775,9.2,-23.34,73.66,0
37,0.7023633647952303,0.367147948980783,0.289609784470948,0.8008,7.23,-14.66,54.92,0
38,0.6767727829392317,1.0279371409108506,0.37925976491760505,0.7684,9.63,-22.25,78.0,0
39,1.2194629559509367,0.5185116477301245,0.3136544203512216,0.8335,11.81,-19.04,101.4,0
40,1.0840979689127357,0.779815921865784,0.042222160569944545,0.8807,11.82,-19.15,101.52,0
41,0.9158074021706096,0.049937008634270974,0.24699540962225947,0.7401,7.48,-14.88,57.21,0
42,0.8298612123327853,0.17342902663925627,0.05170148386127582,0.8188,7.33,-10.72,55.85,0
43,1.087644572177712,0.20471156224426332,0.4625600591883986,0.733,9.42,-22.48,75.87,0
44,1.0810611397003949,0.41624376544180447,0.2954577457407084,0.8231,10.34,-17.52,85.35,0
45,0.5228038710296975,1.1502710558897344,0.24115171847145012,0.7422,8.85,-24.66,70.14,0
46,1.2827352272502863,0.09927599990692627,0.24332916541908017,0.7651,10.42,-17.42,86.21,0
47,0.9907069943545209,1.1253917459699794,0.2858640261880377,0.8402,12.49,-24.27,109.16,0
48,0.9734894010569538,0.32037079571027227,0.1657844986712761,0.8352,9.11,-12.8,72.72,0
49,1.0206724024715377,0.526693752366056,0.010806039940165213,0.8717,10.29,-14.68,84.77,0
50,1.3262919241943578,1.07539292620772,0.07012454449930539,0.8795,14.83,-24.98,137.93,0
51,1.0540361435390495,0.13029088936253225,0.33612004651990585,0.749,8.88,-18.55,70.44,0
52,0.7812337838390083,0.7913071616302821,0.3634973071434413,0.8065,9.57,-17.88,77.31,0
53,1.268647491917657,0.12928913514707588,0.45800592256880396,0.7297,10.42,-23.56,86.13,0
54,0.7302139908948808,0.04489506741141573,0.2774262346957417,0.711,6.05,-14.48,44.49,0
55,0.8709222838624388,0.9957476917588958,0.4041257360321509,0.8042,11.05,-21.65,92.88,0
56,0.8171388928227153,1.1434792740836939,0.1454589190700593,0.8322,11.18,-24.52,94.31,0
57,1.0150571292317145,0.3071581086811233,0.46802178502448166,0.7474,9.33,-22.16,74.91,0
58,0.6646078175820181,0.05389274327079478,0.21754853000151897,0.7333,5.58,-12.15,40.55,0
59,1.4923755640558372,1.0700127195058966,0.3743040097284746,0.8581,16.06,-25.64,154.47,0
60,1.3907924908785247,1.0721359676374358,0.25942918019322453,0.8697,15.34,-25.22,144.64,0
61,0.815929051830793,0.9264149185331856,0.33083063158388054,0.8178,10.37,-20.26,85.61,0
62,0.8736577288737101,0.11336000167381832,0.373394805674513,0.7161,7.43,-18.41,56.77,0
63,0.7624605159228647,1.124175780640535,0.12048528750284238,0.8265,10.66,-24.15,88.77,0
64,0.622757932411486,0.9973352065498873,0.07664215831224702,0.8158,9.06,-21.64,72.29,0
65,0.6792683081577391,0.7192593498250122,0.43728102041873224,0.7563,8.45,-19.01,66.34,0
66,0.6964346657145732,0.3723884074801137,0.3887024191205888,0.7509,7.19,-17.65,54.55,0
67,1.4718264260609675,0.6008894234428107,0.07194875127562539,0.8596,13.98,-18.42,127.13,0
68,0.5139362877082015,0.2755872359986263,0.06591110889326052,0.8688,5.32,-7.77,38.43,0
69,1.1776586736128576,0.14619900555423734,0.2531649658103165,0.7753,9.87,-16.95,80.43,0
70,1.1942624356428864,0.6973399310650829,0.09988782583002881,0.8757,12.35,-18.34,107.51,0
71,1.3041245261822627,0.858488555538962,0.3694920019577709,0.8489,13.84,-21.46,125.39,0
72,0.6310577515573133,0.1485045643804135,0.4637812755032538,0.6307,5.69,-19.48,41.51,0
73,0.8975781938249406,0.3611384301371277,0.24429202267576666,0.8262,8.71,-14.66,68.86,0
74,1.1628642127635824,1.1467479084563639,0.1432231134410275,0.8689,13.88,-25.38,125.95,0
75,1.4248084293120271,0.02983138966350758,0.27759902116341234,0.7443,11.12,-19.44,93.72,0
76,1.1339751116810852,0.12707688450090396,0.07016979853195632,0.7904,9.42,-14.43,75.86,0
77,0.9191143193163038,1.159478294571818,0.2980212766171864,0.8264,12.05,-24.84,104.13,0
78,1.4330232216002112,0.9652330987355648,0.23369080077764576,0.8718,15.23,-23.74,143.24,0
79,1.2847634492521873,0.021404140772385283,0.05457199838286747,0.7573,10.03,-16.23,82.1,0
80,1.3294286148827363,0.956180505990194,0.11632037098321685,0.8794,14.4,-23.12,132.51,0
81,1.0307695905990535,0.7272189848400131,0.4338694768880056,0.8135,11.23,-21.27,94.85,0
82,1.1031071573387257,0.4950858831284164,0.18709202170359135,0.8543,10.84,-14.58,90.66,0
83,0.9258820863735099,0.782317230695969,0.43374531587616244,0.8045,10.64,-20.56,88.48,0
84,0.9538968820762997,0.2974074755416297,0.11833118149879057,0.8382,8.85,-12.25,70.15,0
85,1.2460142802434464,0.9798825161086924,0.05263903992706248,0.8801,13.85,-23.12,125.48,0
86,0.5665588569551782,0.7133203965077421,0.07308662209634914,0.8478,7.53,-15.82,57.64,0
87,1.3246641904563412,0.37240160870888933,0.07193596648557132,0.8365,11.92,-16.7,102.6,0
88,1.4209704724874501,0.1986380672823338,0.14236004116896778,0.7969,11.86,-17.83,101.94,0
89,0.6536133951920586,0.13858807639842596,0.010574008168220017,0.8198,5.8,-8.52,42.43,0
90,0.5553954091642601,0.20956976512302322,0.026690966313587694,0.8549,5.35,-7.27,38.66,0
91,1.0911438161109712,0.8168574321594076,0.19681522841601412,0.8705,12.08,-19.78,104.37,0
92,0.8179910969520494,0.605431484426676,0.4375024711173043,0.7788,9.09,-19.94,72.52,0
93,1.351131626822206,0.05217007441535033,0.09074920479826204,0.7649,10.67,-17.01,88.81,0
94,0.736744871104396,0.29926509099865417,0.28561632587138636,0.7926,7.21,-14.78,54.73,0
95,0.9162624257031923,0.05910494391311278,0.1868070692297858,0.7581,7.52,-13.03,57.57,0
96,1.0237529487176373,0.12200628348445916,0.41672927689427985,0.7199,8.59,-20.72,67.67,0
97,0.5519618664651043,1.1098102428216745,0.04955657078993775,0.7779,8.89,-23.87,70.58,0
98,1.3435749515977529,1.0831837727131404,0.48978534029329635,0.833,14.97,-25.18,139.76,0
99,1.3020258802735936,0.9353730489255947,0.32124163799777383,0.8589,14.14,-22.67,129.13,0
100,1.2789963545781289,0.16146265009577648,0.26803401797381865,0.777,10.68,-18.12,88.95,0
101,1.0142228701904146,1.029086572947069,0.23139968279675793,0.8563,12.31,-22.84,107.09,0
102,0.8850894961003535,0.7674759254845321,0.13323165875042303,0.8722,10.28,-17.99,84.67,0
103,0.6397684109539569,0.573452728828495,0.2084446842974425,0.8424,7.59,-13.53,58.2,0
104,0.7325699405288737,0.4410141721381536,0.1831962249131237,0.8534,7.77,-11.77,59.87,0
105,0.8274955644125455,0.45535689567231474,0.3428716727279727,0.8032,8.57,-17.17,67.43,0
106,0.7968764745712853,1.1386295120584085,0.45817400976908895,0.7691,10.97,-24.43,92.05,0
107,0.9809104283000786,0.39403344600562656,0.26771739491500157,0.826,9.49,-15.98,76.57,0
108,1.3485604887736247,0.7831048086721224,0.4021959139735387,0.8404,13.86,-22.51,125.59,0
109,1.0327222760657402,0.7595011551211449,0.14407780709123086,0.8755,11.39,-18.57,96.65,0
