trial,s_trending,s_volatile,s_crash,sharpe,sortino,cagr,max_dd,cum_ret
76,0.6339751116810851,0.15884610562612994,0.07016979853195632,0.6533,0.9329,10.75,-32.86,89.72
77,0.41911431931630383,1.4493478682147725,0.2980212766171864,0.5896,0.8367,9.04,-31.79,72.08
78,0.9330232216002112,1.206541373419456,0.23369080077764576,0.5997,0.8532,9.13,-31.59,72.97
79,0.7847634492521874,0.026755175965481603,0.05457199838286747,0.6572,0.9397,10.83,-32.78,90.51
80,0.8294286148827363,1.1952256324877426,0.11632037098321685,0.5942,0.8447,9.19,-32.38,73.54
81,0.5307695905990535,0.9090237310500164,0.4338694768880056,0.6332,0.902,9.8,-30.87,79.75
82,0.6031071573387257,0.6188573539105204,0.18709202170359135,0.6365,0.9071,10.17,-32.22,83.55
83,0.4258820863735099,0.9778965383699613,0.43374531587616244,0.6288,0.8951,9.75,-30.99,79.25
84,0.45389688207629975,0.3717593444270372,0.11833118149879057,0.647,0.9225,10.59,-32.79,88.0
85,0.7460142802434464,1.2248531451358655,0.05263903992706248,0.5891,0.8368,9.18,-32.84,73.46
86,0.06655885695517816,0.8916504956346777,0.07308662209634914,0.6141,0.8717,10.02,-33.48,81.98
87,0.8246641904563413,0.46550201088611165,0.07193596648557132,0.6353,0.9063,10.22,-32.64,84.04
88,0.9209704724874502,0.24829758410291725,0.14236004116896778,0.6499,0.9289,10.45,-32.13,86.51
89,0.15361339519205863,0.17323509549803245,0.010574008168220017,0.6529,0.9303,11.03,-33.74,92.75
90,0.05539540916426011,0.26196220640377904,0.026690966313587694,0.6487,0.9237,10.95,-33.76,91.87
91,0.5911438161109712,1.0210717901992596,0.19681522841601412,0.6117,0.87,9.58,-32.18,77.49
92,0.3179910969520494,0.7567893555333451,0.4375024711173043,0.6431,0.916,10.14,-31.09,83.18
93,0.851131626822206,0.06521259301918791,0.09074920479826204,0.6568,0.9392,10.74,-32.5,89.53
94,0.23674487110439602,0.37408136374831774,0.28561632587138636,0.6574,0.9373,10.73,-32.07,89.45
95,0.4162624257031923,0.07388117989139098,0.1868070692297858,0.6663,0.9518,11.02,-32.43,92.6
96,0.5237529487176372,0.15250785435557396,0.41672927689427985,0.6753,0.966,10.87,-30.98,90.92
97,0.051961866465104256,1.387262803527093,0.04955657078993775,0.5813,0.8232,9.29,-33.63,74.5
98,0.8435749515977528,1.3539797158914255,0.48978534029329635,0.6055,0.8619,8.99,-30.18,71.52
99,0.8020258802735936,1.1692163111569933,0.32124163799777383,0.6083,0.8657,9.27,-31.21,74.31
100,0.778996354578129,0.20182831261972062,0.26803401797381865,0.6617,0.9463,10.62,-31.55,88.32
101,0.5142228701904145,1.2863582161838363,0.23139968279675793,0.5966,0.8472,9.23,-32.06,73.95
102,0.3850894961003535,0.9593449068556652,0.13323165875042303,0.6127,0.8708,9.77,-32.78,79.41
103,0.13976841095395687,0.7168159110356187,0.2084446842974425,0.6323,0.8992,10.26,-32.62,84.48
104,0.2325699405288737,0.551267715172692,0.1831962249131237,0.641,0.9125,10.46,-32.66,86.57
105,0.32749556441254546,0.5691961195903934,0.3428716727279727,0.6492,0.9253,10.4,-31.63,85.97
106,0.2968764745712853,1.4232868900730107,0.45817400976908895,0.6004,0.8524,9.16,-31.0,73.2
107,0.4809104283000786,0.4925418075070332,0.26771739491500157,0.6493,0.926,10.43,-31.89,86.27
108,0.8485604887736246,0.9788810108401531,0.4021959139735387,0.6257,0.8919,9.53,-30.69,76.99
109,0.5327222760657402,0.9493764439014312,0.14407780709123086,0.6135,0.8724,9.71,-32.55,78.81
110,0.7348931623102908,0.3036068896885775,0.3473990644092491,0.6618,0.9463,10.52,-31.14,87.28
111,0.8607190683258941,0.1981542559523159,0.3071898702709599,0.6634,0.9492,10.58,-31.23,87.82
